日期,二叉树结果,B-S结果,两模型差值绝对值,实际价格,二叉树与实际价格之差绝对值,B-S与实际价格之差绝对值,二叉树差绝对值与实际价格比率,,B-S差绝对值与实际价格的比率,,,
2019-01-04,4209.509785,4210.534019,1.02423334,3896,313.5097853,314.534019,0.080469657,,0.080732551,,两模型差绝对值平均,0.227547552
2019-01-07,4447.093905,4446.396679,0.697225159,3693,754.0939046,753.396679,0.204195479,,0.204006683,,两模型差绝对值标准差,0.252164095
2019-01-08,4339.362025,4338.499036,0.862988757,3933,406.3620251,405.499036,0.103321135,,0.103101713,,,
2019-01-09,4590.956982,4591.775606,0.818623774,4106,484.956982,485.775606,0.118109348,,0.11830872,,二叉树与实际价格差值绝对值的平均值,282.3273535
2019-01-10,4447.484606,4447.108528,0.376078734,4099,348.4846064,348.108528,0.085016981,,0.084925232,,二叉树与实际价格差值绝对值的标准差,178.1145131
2019-01-11,4264.349987,4263.551134,0.798852232,3781,483.3499867,482.551134,0.127836548,,0.127625267,,,
2019-01-14,3913.687457,3912.947006,0.740450598,3654,259.6874565,258.947006,0.071069364,,0.070866723,,B-S模型与实际价格差值绝对值的平均值,282.3407096
2019-01-15,3940.118935,3939.707493,0.411441978,3590,350.1189352,349.707493,0.097526166,,0.097411558,,B-S模型与实际价格差值绝对值的标准差,178.0301831
2019-01-16,4174.148927,4173.434002,0.714924826,3600,574.148927,573.434002,0.159485813,,0.159287223,,,
2019-01-17,4130.856487,4130.249038,0.607449701,3727,403.8564874,403.249038,0.108359669,,0.108196683,,二叉树模型偏离比率平均值,0.062517968
2019-01-18,4526.6624,4526.296751,0.365648533,3936,590.6623998,590.296751,0.150066667,,0.149973768,,B-S模型偏离比率平均值,0.062518183
2019-01-21,4503.642988,4503.244845,0.398142805,4133,370.6429882,370.244845,0.089678923,,0.08958259,,,
2019-01-22,4350.739559,4351.782838,1.043278837,3909,441.7395593,442.782838,0.113005771,,0.113272663,,,
2019-01-23,4277.088849,4277.256978,0.168129215,3817,460.0888491,460.256978,0.120536769,,0.120580817,,,
2019-01-24,4106.328565,4105.528494,0.800070896,3709,397.328565,396.528494,0.107125523,,0.106909812,,,
2019-01-25,4067.142737,4066.4394,0.703336443,3556,511.1427367,510.4394,0.143740927,,0.143543138,,,
2019-01-28,4245.177909,4245.201156,0.023246618,3853,392.1779092,392.201156,0.101785079,,0.101791112,,,
2019-01-29,4247.520794,4247.298202,0.222592146,3789,458.5207942,458.298202,0.12101367,,0.120954923,,,
2019-01-30,4334.231462,4333.550209,0.681253293,3980,354.2314623,353.550209,0.08900288,,0.088831711,,,
2019-01-31,4699.894372,4699.361282,0.533089754,4282,417.8943722,417.361282,0.097593268,,0.097468772,,,
2019-02-01,4835.502556,4835.381836,0.12071927,4344,491.5025556,491.381836,0.113145156,,0.113117366,,,
2019-02-11,4779.55261,4779.929557,0.376947566,4474,305.5526099,305.929557,0.068295174,,0.068379427,,,
2019-02-12,4752.8247,4753.176999,0.352299013,4491,261.8247003,262.176999,0.058299866,,0.058378312,,,
2019-02-13,4736.844019,4737.118256,0.274236699,4277,459.8440194,460.118256,0.107515553,,0.107579672,,,
2019-02-14,4872.617765,4872.196841,0.420924311,4386,486.6177652,486.196841,0.110947963,,0.110851993,,,
2019-02-15,4610.894937,4611.587295,0.692358078,4357,253.8949366,254.587295,0.05827288,,0.058431787,,,
